code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"101",Mouvement de terrain,"43027",Sherbrooke,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-19,2021-04-11,Non,,2021-10-15,-71.89832,45.386508
"101",Mouvement de terrain,"43027",Sherbrooke,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-28,2022-06-28,Non,,,-71.852197,45.418189
"101",Mouvement de terrain,"43027",Sherbrooke,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-07-16,2021-04-01,Oui,La propriétaire au 699 chemin Duplessis a emménagé à sa nouvelle résidence durant le mois d'avril et a remarqué à ce moment qu'il semblait y avoir un mouvement de terrain,,-71.852164,45.418164
"88",Incendie industriel,"43027",Sherbrooke,Précise,,Menace importante à la vie ou à la propriété,2022-03-23,2022-03-23,Non,,2022-03-24,-72.032979,45.347266
"101",Mouvement de terrain,"98055",Rivière-au-Tonnerre,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-30,,Oui,,2021-10-13,-64.792158,50.27547
"174",Panne de télécommunication,"99025",Chibougamau,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-13,2021-05-13,Non,,2021-06-15,-74.369385,49.913555
"8",Inondation,"99025",Chibougamau,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-17,2022-05-17,Non,,2022-05-30,-74.369385,49.913555
"248",Alimentation publique en eau potable,"93060",Lamarche,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-18,2022-02-18,Non,,2022-02-28,-71.427178,48.795049
"8",Inondation,"92055",Girardville,Précise,,Menace possible à la vie ou à la propriété,2022-05-17,2022-05-17,Non,,2022-05-30,-72.551605,49.006583
"8",Inondation,"05050",Saint-Elzéar,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-12-02,2020-12-02,Non,,2021-04-19,-65.395562,48.154587
"138",Orage violent,"61013",Crabtree,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-73.474763,45.966241
"8",Inondation,"61013",Crabtree,Précise,,Menace possible à la vie ou à la propriété,2021-03-16,2021-03-25,Non,,2021-10-26,-73.475344,45.976367
"138",Orage violent,"62030",Sainte-Marcelline-de-Kildare,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-73.600131,46.117835
"10",Matières dangereuses,"62030",Sainte-Marcelline-de-Kildare,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-07,2021-12-07,Non,,2021-12-10,-73.630713,46.143682
