no_seq_observation,id_reseau,date_observation,code_municipalite,nom,urgence,certitude,type,severite,etat,imprecision
"1914",marh01,2000/08/01 00:00:00,"06035",Ristigouche-Partie-Sud-Est,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1915",marh01,2006/05/01 00:00:00,"06035",Ristigouche-Partie-Sud-Est,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1916",marh01,1992/09/23 00:00:00,"14085",La Pocatière,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1917",marh01,2008/10/28 00:00:00,"05055",Saint-Siméon,Passée,Observé,Pluie,Mineure,Actuel,aucune
"1918",marh01,1998/05/01 00:00:00,"06025",Escuminac,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1919",marh01,1994/04/17 00:00:00,"06060",L'Ascension-de-Patapédia,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1920",marh01,1998/08/01 00:00:00,"06804",Listuguj,Passée,Observé,Démonstration civile,Mineure,Actuel,date
"1921",marh01,1989/04/01 00:00:00,"06005",Maria,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1922",marh01,1992/06/02 00:00:00,"06045",Matapédia,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1923",marh01,1983/04/01 00:00:00,"06035",Ristigouche-Partie-Sud-Est,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1924",marh01,2005/03/09 00:00:00,"09020",Sainte-Jeanne-d'Arc,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1925",marh01,2002/08/07 00:00:00,"09092",Sainte-Luce,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1926",marh01,1994/04/01 00:00:00,"14065",Rivière-Ouelle,Passée,Observé,Inondation,Mineure,Actuel,date
"1927",marh01,1997/10/01 00:00:00,"06035",Ristigouche-Partie-Sud-Est,Passée,Observé,Autre,Mineure,Actuel,aucune
"1928",marh01,2007/12/01 00:00:00,"05045",Bonaventure,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1929",marh01,1974/01/01 00:00:00,"07010",Sainte-Florence,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1930",marh01,2010/05/01 00:00:00,"05045",Bonaventure,Passée,Observé,Autre,Mineure,Actuel,date
"1931",marh01,1994/05/01 00:00:00,"05045",Bonaventure,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1932",marh01,1994/04/17 00:00:00,"06055",Saint-François-d'Assise,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1933",marh01,2006/10/21 00:00:00,"09085",Sainte-Flavie,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1934",marh01,2010/12/06 00:00:00,"14055",Saint-Denis-De La Bouteillerie,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1935",marh01,2000/01/21 00:00:00,"05045",Bonaventure,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1936",marh01,2012/03/23 00:00:00,"05045",Bonaventure,Passée,Observé,Inondation,Mineure,Actuel,aucune
"1937",marh01,1992/01/31 00:00:00,"05060",Caplan,Passée,Observé,Autre,Mineure,Actuel,aucune
"1938",marh01,1992/08/21 00:00:00,"05060",Caplan,Passée,Observé,Matières dangereuses,Mineure,Actuel,aucune
